"ADM2_CODE";"ADM2_NAME";"ADM1_CODE";"ADM1_NAME";"pop_total";"Aguna";"Aja";"Akan";"Anii";"Arabic";"Ayizo_Gbe";"Baatonum";"Bambara";"Biali";"Boko";"Boo";"Borgu_Fulfulde";"Bozo";"Contimba";"Defi_Gbe";"Dendi";"Ditammari";"Dyula";"Ede_Cabe";"Ede_Idaca";"Ede_Ije";"English";"Ewe";"Fon";"French";"Gagamba";"Gando";"Gen";"Gorgal_Fulfulde";"Gourmanchéma";"Gun";"Hausa";"Ifè";"Igbo";"Kabiye";"Kotafon_Gbe";"Kotokoli";"Lekpa";"Lingala";"Maxi_Gbe";"Mbelime";"Mioybe";"Mobaa";"Mokole";"Mossi";"Nateni";"Northern_Nago";"Partago";"Saxwe_Gbe";"Senufo";"Seto_Gbe";"Songhay";"Soninke";"Southern_Nago";"Taneka";"Tem";"Tofin_Gbe";"Toli_Gbe";"Waama";"Waci_Gbe";"Weme_Gbe";"Western_Xwla_Gbe";"Wolof";"Xwela_Gbe";"Yoabu";"Yom";"Yoruba";"Zarma";"Other"
"BJ0403";"Ndali";"BJ04";"Borgou";114870;0;339;0;0;0;0;61633;0;3126;0;0;29716;0;0;68;756;4684;0;0;666;0;0;0;1896;147;0;429;169;0;1129;260;497;68;0;271;0;0;914;0;102;508;519;0;0;0;1050;0;0;0;0;0;0;0;858;0;0;0;0;248;0;0;0;0;0;113;2494;440;1546;226
"BJ0404";"Nikki";"BJ04";"Borgou";156660;0;0;0;0;0;0;59563;0;929;0;4114;70114;0;0;0;6074;929;0;0;397;0;0;113;771;317;0;2742;0;306;1655;0;147;0;0;272;0;363;181;0;204;2244;453;0;0;0;249;0;0;0;0;0;0;0;1065;0;0;0;0;113;0;0;0;0;0;102;340;748;1666;487
"BJ0405";"Parakou";"BJ04";"Borgou";254550;0;3065;0;739;0;187;75132;0;3617;143;948;8711;0;0;1092;41712;6726;0;331;8005;0;0;397;35372;5645;0;0;1698;187;684;3010;1687;198;287;1279;165;254;5502;0;3595;1092;0;0;187;0;1819;176;276;243;0;0;0;0;25206;0;1125;0;0;1081;0;0;265;0;209;0;3098;3650;4752;1003
"BJ0406";"Perere";"BJ04";"Borgou";79270;0;0;0;0;0;0;40441;0;2939;0;69;26911;0;0;0;4369;400;0;0;0;0;0;0;46;0;0;217;69;0;835;0;46;0;46;91;0;0;46;0;46;1453;0;0;0;0;149;0;0;0;0;0;0;0;126;0;0;0;0;80;0;0;0;0;0;0;137;297;286;172
"BJ0407";"Sinende";"BJ04";"Borgou";91170;0;0;0;0;0;0;50459;0;0;0;0;34058;0;0;0;238;669;0;0;79;0;0;0;317;0;0;963;0;0;351;0;261;0;0;397;0;0;136;0;0;0;0;0;0;0;884;0;0;0;0;0;0;0;272;0;0;0;0;181;0;0;0;0;0;0;329;363;884;329
"BJ0408";"Tchaourou";"BJ04";"Borgou";225830;0;2009;0;123;0;0;58806;0;17544;0;0;56258;0;258;0;1448;15299;0;629;819;0;0;0;4265;516;224;449;0;146;5489;180;370;168;0;741;0;135;11483;0;887;6892;1527;0;0;0;2222;0;0;0;0;0;0;0;23056;0;281;0;0;1313;0;0;0;0;0;0;8216;1875;1280;920
"BJ0501";"Bante";"BJ05";"Collines";109000;0;1203;0;201;0;0;111;0;100;0;0;3509;0;0;0;0;691;0;858;6751;535;0;100;3587;89;0;0;123;512;111;0;78;62738;0;2272;0;0;969;0;446;0;0;0;0;0;0;67;0;0;0;0;0;0;22201;0;234;0;0;0;0;0;0;0;0;78;301;468;267;401
"BJ0502";"Dassa-Zoume";"BJ05";"Collines";113630;0;927;0;0;0;66;519;0;99;0;0;4437;0;0;99;199;210;0;166;43900;596;0;0;38193;188;0;0;287;0;0;342;718;298;110;66;0;0;0;0;17993;66;751;0;0;0;0;0;0;0;0;0;0;0;1258;0;66;0;88;0;0;0;0;0;0;0;0;1027;486;475
"BJ0503";"Glazoue";"BJ05";"Collines";122170;0;2265;0;0;0;0;132;0;187;0;0;4717;0;0;0;847;946;0;176;53827;88;0;0;14119;198;99;0;143;0;0;99;176;396;143;462;66;0;99;0;37883;0;253;0;0;0;0;0;143;0;0;0;0;0;2925;0;209;0;66;99;0;0;0;0;0;0;341;363;341;363
"BJ0504";"Ouesse";"BJ05";"Collines";141590;0;1053;0;0;0;0;921;0;7116;0;0;11238;0;0;0;460;2927;0;15130;921;77;0;0;12642;88;0;0;0;0;296;153;1381;0;110;143;0;0;1349;0;55314;0;241;0;0;0;110;0;0;0;0;0;0;0;22586;0;0;0;0;833;0;0;0;0;0;0;5197;800;0;504
"BJ0505";"Savalou";"BJ05";"Collines";144220;133;1945;0;0;0;0;433;0;311;0;0;7380;0;0;0;222;1256;0;0;1767;0;0;245;12226;211;0;0;567;122;0;189;322;48392;0;1323;111;122;1478;0;57295;0;0;0;0;0;0;0;0;0;0;0;0;0;4935;0;922;0;0;0;0;0;0;0;0;0;211;267;1223;611
"BJ0506";"Save";"BJ05";"Collines";86970;0;1233;0;0;0;0;407;0;132;0;0;6130;0;0;88;176;2817;0;29338;10355;209;0;0;22582;0;0;55;154;0;154;209;627;770;66;88;0;0;605;0;3114;77;121;0;0;0;0;0;0;77;0;0;0;44;4149;88;187;0;0;242;0;0;0;0;0;0;1728;319;297;330
"BJ0601";"Aplahoue";"BJ06";"Couffo";170990;122;160672;0;0;0;707;110;0;0;0;0;199;0;0;110;0;0;0;0;0;0;0;0;6120;232;0;0;751;0;0;133;88;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;276;0;0;0;0;188;0;0;0;221;0;144;0;0;0;0;0;0;110;99;597
"BJ0602";"Djakotome";"BJ06";"Couffo";136900;0;135340;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;567;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;0;0;0;0;207
"BJ0603";"Dogbo";"BJ06";"Couffo";102110;0;95759;0;0;0;66;0;0;0;0;0;416;0;0;0;0;0;0;0;0;0;0;0;898;66;0;0;526;120;0;120;186;0;0;0;832;0;0;0;66;0;0;0;0;0;0;0;0;2464;0;0;0;0;0;0;0;0;0;0;88;55;0;0;0;0;0;120;120;208
