Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2923","Épices","2010","2010","Kcal/personne/jour","11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2923","Épices","2020","2020","Kcal/personne/jour","13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2924","Boissons Alcooliques","2010","2010","Kcal/personne/jour","34","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2924","Boissons Alcooliques","2020","2020","Kcal/personne/jour","35","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2943","Viande","2010","2010","Kcal/personne/jour","71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2943","Viande","2020","2020","Kcal/personne/jour","64","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2945","Abats","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2945","Abats","2020","2020","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2946","Graisses animales","2010","2010","Kcal/personne/jour","14","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2946","Graisses animales","2020","2020","Kcal/personne/jour","12","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2949","Oeufs","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2949","Oeufs","2020","2020","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2948","Lait - Excl Beurre","2010","2010","Kcal/personne/jour","70","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2948","Lait - Excl Beurre","2020","2020","Kcal/personne/jour","71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2960","Poisson & Fruits de Mer","2010","2010","Kcal/personne/jour","9","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2960","Poisson & Fruits de Mer","2020","2020","Kcal/personne/jour","11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2961","Produits Aquatiques, Aut","2010","2010","Kcal/personne/jour","0","E","Valeur estimée"
